ID,Line_EN,Station,Station_EN,Component_EN,Occurrence Date,Installation Date,Year,Month,YearMonth,Season,Days Since Installation,Months Since Installation,Years Since Installation,Average Daily Ridership,Ridership_Category,Location_Type_EN,Station_Daily_Runs,Station_Daily_Runs_Category,Manufacturer,Supplier,LineStation,LineStation_EN,LineStation_Failure_Count,PlatformDoor,PlatformDoor_Failure_Count,Platform_Number,Door_Number,Door_Position,Component
2537,Gyeongwon Line,방학,Banghak,Motor,2020-08-17,2016-01-15,2020,8,2020-08,Summer,1676,55.86666667,4.591780822,14107,Medium-High,Above Ground,122,Medium-Low,dunkern,GS네오텍,경원선_방학,Gyeongwon Line_Banghak,80,1번홈_5-4,73.0,1.0,5.0,4.0,모터
2538,Gyeongwon Line,광운대,Kwangwoon University,Electrical Stop,2020-08-18,2018-06-15,2020,8,2020-08,Summer,795,26.5,2.178082192,12505,Medium-Low,Above Ground,201,High,Unknown,우진산전,경원선_광운대,Gyeongwon Line_Kwangwoon University,80,3번홈_10-3,23.0,3.0,10.0,3.0,전기정
2539,Gyeongwon Line,외대앞,Hankuk University of Foreign Studies,Electrical Stop,2020-08-19,2016-12-15,2020,8,2020-08,Summer,1343,44.76666667,3.679452055,15061,Medium-High,Above Ground,187,High,Unknown,GS네오텍,경원선_외대앞,Gyeongwon Line_Hankuk University of Foreign Studies,98,2번홈_8-1,47.0,2.0,8.0,1.0,전기정
2540,Gyeongwon Line,외대앞,Hankuk University of Foreign Studies,Electrical Stop,2020-08-19,2016-12-15,2020,8,2020-08,Summer,1343,44.76666667,3.679452055,15061,Medium-High,Above Ground,187,High,Unknown,GS네오텍,경원선_외대앞,Gyeongwon Line_Hankuk University of Foreign Studies,98,2번홈_6-3,77.0,2.0,6.0,3.0,전기정
2541,Gyeongwon Line,외대앞,Hankuk University of Foreign Studies,Electrical Stop,2020-08-22,2016-12-15,2020,8,2020-08,Summer,1346,44.86666667,3.687671233,15061,Medium-High,Above Ground,186,High,Unknown,GS네오텍,경원선_외대앞,Gyeongwon Line_Hankuk University of Foreign Studies,98,1번홈_8-4,81.0,1.0,8.0,4.0,전기정
2542,Gyeongwon Line,방학,Banghak,Motor,2020-08-23,2016-01-15,2020,8,2020-08,Summer,1682,56.06666667,4.608219178,14107,Medium-High,Above Ground,122,Medium-Low,dunkern,GS네오텍,경원선_방학,Gyeongwon Line_Banghak,80,1번홈_4-3,88.0,1.0,4.0,3.0,모터
2543,Gyeongwon Line,신이문,Sinimun,Open/Close Sensor,2020-08-26,2012-06-15,2020,8,2020-08,Summer,2994,99.8,8.202739726,12525,Medium-Low,Above Ground,186,High,Unknown,GS네오텍,경원선_신이문,Gyeongwon Line_Sinimun,56,1번홈_1-3,103.0,1.0,1.0,3.0,열림/닫힘센서
2544,Gyeongwon Line,신이문,Sinimun,Obstacle Sensor,2020-08-26,2012-06-15,2020,8,2020-08,Summer,2994,99.8,8.202739726,12525,Medium-Low,Above Ground,187,High,오토닉스,GS네오텍,경원선_신이문,Gyeongwon Line_Sinimun,56,2번홈_10-4,83.0,2.0,10.0,4.0,장애물센서
2545,Gyeongwon Line,가능,Ganeung,DCU,2020-08-24,2016-12-15,2020,8,2020-08,Summer,1348,44.93333333,3.693150685,8921,Medium-Low,Above Ground,96,Medium-Low,TBR,GS네오텍,경원선_가능,Gyeongwon Line_Ganeung,38,2번홈_7-4,67.0,2.0,7.0,4.0,DCU
2546,Gyeongwon Line,월계,Wolgye,Obstacle Sensor,2020-08-27,2018-06-15,2020,8,2020-08,Summer,804,26.8,2.202739726,10053,Medium-Low,Above Ground,121,Medium-Low,Unknown,우진산전,경원선_월계,Gyeongwon Line_Wolgye,58,2번홈_8-2,77.0,2.0,8.0,2.0,장애물센서
2547,Gyeongwon Line,가능,Ganeung,DCU,2020-08-27,2016-12-15,2020,8,2020-08,Summer,1351,45.03333333,3.701369863,8921,Medium-Low,Above Ground,96,Medium-Low,TBR,GS네오텍,경원선_가능,Gyeongwon Line_Ganeung,38,2번홈_8-3,61.0,2.0,8.0,3.0,DCU
2548,Gyeongwon Line,녹천,Nokcheon,Obstacle Sensor,2020-08-29,2018-04-15,2020,8,2020-08,Summer,867,28.9,2.375342466,6061,Low,Above Ground,121,Medium-Low,Unknown,우진산전,경원선_녹천,Gyeongwon Line_Nokcheon,51,2번홈_4-2,93.0,2.0,4.0,2.0,장애물센서
